GVKEY,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,cshpri,dlc,dltt,dvc,lct,oibdp,pi,ppent,prstkc,pstkl,re,sale,sstk,txditc,xrd,xsga,costat,mkvalt,prcc_f,gind,gsubind,naics,sic,spcindcd,market_share,market_value,CI
118795,35017,2010/12/31,2010,INDL,C,D,STD,KWKAQ,QUICKSILVER RESOURCES INC,USD,238.172,3512.334,695.114,168.01,143.478,1746.716,0,463.1,524.78,697.679,3067.845,4.91,0,384.271,928.331,12.855,156.983,,72.711,I,2512.7868,14.74,101020,10102020,211111,1311,380,0.00172285363017821,2512.7868,0.225251949162978
120093,35026,2010/12/31,2010,INDL,C,D,STD,CNX,CNX RESOURCES CORPORATION,USD,1115.006,12070.61,1154.024,214.921,508.783,3186.138,85.861,1664.785,1272.59,467.913,10129.251,0,0,806.259,5162.998,1834.855,0,,150.21,A,11023.1359,48.74,101020,10102020,2111,1311,360,0.00958180847876763,11023.1359,0.188433924585544
14934,35222,2010/12/31,2010,INDL,C,D,STD,DVN,DEVON ENERGY CORP,USD,5555,32927,6476,435,1811,3819,281,4583,5951,3568,19652,1168,0,13642,9940,111,2756,,563,A,33877.065,78.51,101020,10102020,2111,1311,380,0.0184472618968573,33877.065,0.345073799754889
62204,36564,2010/12/31,2010,INDL,C,D,STD,TGC,TENGASCO INC,USD,3.534,39.749,3.689,60.416,0.129,9.564,0,3.524,4.902,-2.834,21.506,0,0,-30.239,13.216,0.015,0,0,2.294,I,38.3542,0.632,101020,10102020,211120,1311,380,2.45270637051173e-05,38.3542,0.147189083509556
15055,37900,2010/12/31,2010,INDL,C,D,STD,CNQ,CANADIAN NATURAL RESOURCES,CAD,2172,42669,5335,1088.096,0,8499,326,3156,7048,2759,40472,68,0,17838,12804,170,7899,,232,A,48379.1088,44.35,101020,10102020,2111,1311,380,0.0237624488256902,48379.1088,0.136392688227023
64879,38435,2010/12/31,2010,INDL,C,D,STD,IVANF,IVANHOE ENERGY INC,USD,77.799,409.585,86.285,327.442,39.832,0,0,61.314,-24.635,-30.109,237.2,0,0,-249.436,21.72,138.296,21.518,,36.875,I,909.4728,2.72,101020,10102020,211111,1311,380,4.03093086921267e-05,909.4728,0.544756048285267
140905,41004,2010/12/31,2010,INDL,C,D,STD,EPL,EPL OIL & GAS INC,USD,63.266,626.906,59.561,40.064,0,0,0,75.974,151.586,-12.877,551.092,0,0,-29.48,239.909,0,22.469,,24.519,I,595.7671,14.86,101020,10102020,211111,1311,380,0.000445237842496291,595.7671,0.09748405026662
20214,41005,2010/12/31,2010,INDL,C,D,STD,ERF,ENERPLUS CORP,CAD,207.331,5835.172,1564.751,177.737,0,732.405,384.128,439.417,732.253,41.933,4976.885,0,0,-1851.857,1127.677,35.418,502.584,,78.928,A,5479.1342,30.67,101020,10102020,2111,1311,850,0.00209281216841673,5479.1342,0.31291746883276
108482,41161,2010/12/31,2010,INDL,C,D,STD,EQU,EQUAL ENERGY LTD,CAD,29.757,427.754,77.678,24.595,0,141.884,0,44.036,53.312,-35.122,397.997,0,0,-57.864,113.471,35.641,7.101,,21.963,I,169.5852,6.12,101020,10102020,211111,1311,380,0.000210586444134637,169.5852,0.194566134902326
22053,41163,2010/06/30,2010,INDL,C,D,STD,MCF,CONTANGO OIL & GAS CO,USD,119.873,592.266,97.703,15.831,0,0,0,78.488,117.087,81.272,472.32,23.379,0,380.582,160.681,0.913,131.291,,26.554,A,701.9038,44.75,101020,10102020,2111,1311,380,0.00029820165883792,701.9038,0.233117958359778
108645,41178,2010/12/31,2010,INDL,C,D,STD,UPLCQ,ULTRA PETROLEUM CORP,USD,361.049,3595.615,1644.898,152.346,0,1560,0,418.016,814.919,723.074,3224.774,23.707,0,712.197,1096.213,6.561,420.711,,24.351,A,7288.1734,47.77,101020,10102020,211130,1311,380,0.00203441934665388,7288.1734,0.880548468500105
142540,41247,2010/12/31,2010,INDL,C,D,STD,CEO,CNOOC LTD,USD,15250.427,49685.794,6172.096,446.692,3277.375,1775.159,2645.353,10516.68,15014.006,11007.574,32171.307,0,0,26164.78,27735.316,0,1988.192,124.765,1309.465,A,,238.37,101020,10102020,211120,1311,380,0.0514729012116796,,0.254839964065316
