date,region,new_BBL,retired_BBL,new_MCF,retired_MCF
2017-06-01T00:00:00Z,Permian,199216.40775,126992.73,419793.85284,225206.16
2017-07-01T00:00:00Z,Permian,205816.153382,132465.19,431604.05539,229766.09
2017-08-01T00:00:00Z,Permian,212799.167802,138635.41,442759.97428,235019.64
2017-09-01T00:00:00Z,Permian,221029.78084,145369.71,456632.8406,241459.72
2017-10-01T00:00:00Z,Permian,227884.684692,152215.35,465781.09917,249061.08
2017-11-01T00:00:00Z,Permian,239440.7073,159674.21,483088.67708,258686.56
2017-12-01T00:00:00Z,Permian,253922.244024,167285.63,507526.78614,269099.88
2018-01-01T00:00:00Z,Permian,268086.969876,175558.05,533579.73537,280216.55
2018-02-01T00:00:00Z,Permian,288232.636032,184104.64,571877.22384,291347.19
2018-03-01T00:00:00Z,Permian,295716.714408,191792.38,584908.06452,301241.77
2018-04-01T00:00:00Z,Permian,306057.945088,200327.05,604112.32448,311029.46
2018-05-01T00:00:00Z,Permian,322099.61496,208782.38,636355.58295,319622.07
2018-06-01T00:00:00Z,Permian,334481.6221,217729.49,664588.365,327907.58
2018-07-01T00:00:00Z,Permian,341039.885301,226383.18,684151.56477,335212.34
2018-08-01T00:00:00Z,Permian,349145.897364,235172.52,705788.7892,342707.32
